question,answer
"What species, besides humans, are known to have cumulative culture?",Birds and chimpanzees
What cognitive architecture did humans develop that allowed for cumulative cultural evolution?,the ability to understand others as mental agents
What is the reason why group selection may be an important force in cultural evolution?,Due to conformist biases making it difficult for novel cultural traits to spread through a population
What are the two properties necessary for group selection to operate?,rare in genetic transmission
What type of cultural change is explained by group selection in New Guinea?,Slowly changing aspects of social structure
What was the title of Friedrich Engels' manuscript in 1876?,The Part Played by Labour in the Transition from Ape to Man
What year did Richard Dawkins's book 'The Selfish Gene' introduce ideas of cultural evolution to a popular audience?,1976
"Who published the book 'Genes, Mind and Culture'?",Charles Lumsden and E.O. Wilson
What is the title of O. Wilson's book that outlined a series of mathematical models of how genetic evolution might favor the selection of cultural traits?,"Genes, Mind and Culture"
What was the title of the 1981 book written by Cavalli-Sforza and Feldman?,Cultural Transmission and Evolution: A Quantitative Approach
What is the topic of the 1985 publication by Robert Boyd and Peter Richerson?,Culture and the Evolutionary Process
What is the primary focus of this book?,Mathematical models of the evolution of social learning
What year did Boyd and Richerson publish their book outlining an agenda for future DIT research?,1985
What is the reason Kevin Laland and Gillian Ruth Brown attribute for the lack of attention on Developmental Individual Differences (DIT)?,The heavy reliance on formal modeling
Who disagrees with the critique that hieroglyphics cannot be translated into a respectable empirical science?,Herbert Gintis
What type of research settings have been used to test predictions of cultural evolutionary models?,laboratory settings as well as studying differences in cooperation in fifteen small-scale societies
"What is one of the two major conceptual theories that could unify the behavioral sciences, according to Herb Gintis?",DIT
What is considered by some to be the best paradigm for integrating evolutionary theory with disciplines such as genetics and culture?,DIT models
What is a key criticism of sociology and cultural anthropology according to Dual Inheritance theorists?,That they treat culture as a static superorganic entity that dictates human behavior
What is the primary focus of evolutionary psychologists?,The evolved architecture of the human mind
What happens to ideas when they are passed from one person's mind to another?,"They are changed by the evolved inference systems, much like messages get changed in a game of telephone"
What is one key difference between the replication of genes and the spread of memes?,"Ideas normally are not copied faithfully as they are replicated, unlike genes."
What happens every time an idea is passed from mind to mind?,It is transformed because the sender's message is being interpreted by evolved inference systems in the receiver.
What do evolutionary psychologists argue about the psychology implied in many DIT models?,That it's too simple
What type of situations do sociobiologists attribute to 'evoked culture'?,"Different evolved programs being activated in different places, in response to cues in the environment."
What is the approach that sociobiologists take when faced with a trait that seems maladaptive?,to determine how the trait actually increases genetic fitness
What assumption do human behavioral ecologists often make about culture?,That it produces the most adaptive outcome in a given environment
What was the study of African cultures compared with?,local ecological conditions
What is one key difference between memetics and DIT?,DIT does not assume that replicators are necessary for cumulative adaptive evolution.
Who has criticized the memetic research program?,Liane Gabora
What is one criticism leveled against framing culture in tandem with evolution?,That it does not capture the algorithmic structure that makes an inheritance system require a particular kind of mathematical framework
What is the approximate time period when the tribe Hominini formed?,7 to 8 million years ago
What is the primary method used to determine the age of the fossils?,radiometric dating
What is the approximate time when all fossils shown were considered to be Homo sapiens?,"11,500 years ago"
When did the chimpanzee–human divergence likely take place?,10 to 7 million years ago
"What is the approximate age when the modern human species, Homo sapiens, began to evolve?",4 billion years ago
What type of organisms are mentioned as continuing to diversify undisturbed?,Prokaryotes
What is considered the best living example of the ancestor of all animals?,Proterospongia
What is the age of the rocks where the first fossils that might represent animals appear?,665 million years
What is a characteristic that diploblasts possess?,"Epithelia, nerves, muscles, connective tissue, and mouths"
"What is the name of the group that includes arthropods, mollusks, and annelids?",protostomes
What is the earliest development that bilateral symmetry is observed in?,Nephrozoa
What is the primary function of the cup-eyes and balance organs in vertebrates?,The primary function of the cup-eyes and balance organs in vertebrates is to evolve and not hearing.
What is estimated to be the age of the Neoproterozoic Oxygenation Event?,585 Ma
What is unique about the heart of an acorn worm?,It also functions as a kidney
What part of the dorsal nerve cord is often hollow in deuterostomes?,The brain
What was the first basal chordate to be discovered by science?,Pikaia gracilens
What is a characteristic of all chordates except tunicates?,"An intricate, closed circulatory system"
"When did the first vertebrates, or 'fish', appear?",The first vertebrates ('fish') appear: the Agnathans
What characteristic did ancient fish share with their descendants?,Seven pairs of pharyngeal arches
What type of organs did they have?,"Livers, thyroids, kidneys"
What are the Placodermi characterized by?,The evolution of jaws from the first gill/pharyngeal arch and replacing endoskeletal cartilage with bone
What is the result of the bones from the first gill arch becoming?,The upper and lower jaw
What type of animals did placoderms rise to dominance against?,Cephalopods and sea scorpions
What feature do jawed fish have that is different from other fish?,"A third, lateral semicircular canal"
What was the primary function of the fins of primitive tetrapods?,to use them as paddles in shallow-water habitats
What is the estimated length of Panderichthys?,90-130 cm (35-50 in)
What is the age of the Trackway impressions made by Ichthyostega's limbs?,390 Ma
What was a notable characteristic of Acanthostega's limbs?,They could not support the animal's weight
What was Ichthyostega's likely use of its limbs?,Probably not for walking
What is a characteristic of the bellies of these ancient creatures?,They had scalelessness
What is the function of the columella in the evolutionary stage described?,It assisted in hearing
Where did the otic notch develop?,The end of each tube
When did the standard number of 5 digits evolve in early tetrapods?,The Early Carboniferous
What features did our ancestors evolve at this stage?,"vomeronasal organs, salivary glands, tongues, parathyroid glands, three-chambered hearts (with two atria and one ventricle), bladders"
"What is the length of Hylonomus, a primitive reptile?",20 cm (8 in)
What is a key innovation that allows amniotes to reproduce on land?,The evolution of the amniotic egg
What is unique about the hearing ability in amniotes?,They hear only by columella bone conduction
What were the earliest synapsids also known as?,Proto-mammals
What is a characteristic of the lung parenchyma in therapsids?,Ending in highly vascularized alveoli
What characteristic did the jaws of cynodonts resemble?,Modern mammal jaws
What was lost by early mammals as a result of transitioning to nocturnality?,The vision of red and ultraviolet light
What is likely about the body temperature of these animals?,constant
What is a characteristic that develops in mammals during the stage described?,Diphyodont
What is true about the sex genes of the platypus compared to other mammals?,Its sex genes are closer to those of birds than to those of the therian mammals
What is the function of epipubic bones in early mammals and possibly their eucynodontian ancestors?,To hold the pouch in both sexes
What is a characteristic of a mammal's development?,Nipples stem out of therian milk lines.
