question,answer,retrieved_context,llm_answer,bert_precision,bert_recall,bert_f1,cosine_similarity,fuzzy_score
What is the age of the coal beds in Italy where Oreopithecus was found?,9 million years ago,". The youngest of the Miocene hominoids, Oreopithecus, is from coal beds in Italy that have been dated to 9 million years ago

. 38,000 BCE of the super-volcano in the Phlegrean Fields near Naples, which left much of eastern Europe covered in ash, wiped out both the last Neanderthal and the first Homo Sapiens populations of the early Upper Paleolithic. Modern Europeans of today bear no trace of the genomes of the first Homo Sapiens Europeans, but only of those from after the ecological crisis of 38,000 BCE

.6–1.7 mya. The archaeological site of Xihoudu (西侯渡) in Shanxi province is the earliest recorded use of fire by Homo erectus, which is dated 1.27 million years ago. Southeast Asia (Java) was reached about 1.7 million years ago (Meganthropus). Western Europe was first populated around 1.2 million years ago (Atapuerca). Robert G. Bednarik has suggested that Homo erectus may have built rafts and sailed oceans, a theory that has raised some controversy. One million years after its dispersal, H

. Early Eurasian Homo sapiens fossils have been found in Apidima Cave (Greece) and Misliya Cave (Israel), dated to 210,000 and 194,000–177,000 years old respectively. These fossils seem to re","According to the context, the age of the coal beds in Italy where Oreopithecus was found is 9 million years ago.",0.8125871419906616,0.9139271378517151,0.8602829575538635,0.54555154,100
When did the lineage of orangutans diverge from that of other great apes?,12 million years ago,". Molecular evidence indicates that the lineage of gibbons diverged from the line of great apes some 18–12 mya, and that of orangutans (subfamily Ponginae)[b] diverged from the other great apes at about 12 million years; there are no fossils that clearly document the ancestry of gibbons, which may have originated in a so-far-unknown Southeast Asian hominoid population, but fossil proto-orangutans may be represented by Sivapithecus from India and Griphopithecus from Turkey, dated to around 10 mya

. You can help Wikipedia by expanding it. --- # Orangutan–human last common ancestor The phylogenetic split of Hominidae into the subfamilies Homininae and Ponginae is dated to the middle Miocene, roughly 18 to 14 million years ago. This split is also referenced as the ""orangutan–human last common ancestor"" by Jeffrey H. Schwartz, professor of anthropology at the University of Pittsburgh School of Arts and Sciences, and John Grehan, director of science at the Buffalo Museum

. The gibbons (family Hylobatidae) and then the orangutans (genus Pongo) were the first groups to split from the line leading to the hominins, including humans—followed by gorillas (genus Gorilla), and, ultimately, by ","According to the context, the lineage of orangutans (subfamily Ponginae) diverged from the line of other great apes at about 12 million years ago.",0.7931742668151855,0.9089730978012085,0.8471347689628601,0.37802193,100
"When did hominins, including humans and Australopithecine, separate from the Gorillini tribe?",Between 8 and 9 million years ago,". Hominidae subfamily Homininae (African hominids) diverged from Ponginae (orangutans) about 14 mya. Hominins (including humans and the Australopithecine and Panina subtribes) parted from the Gorillini tribe (gorillas) between 8 and 9 mya; Australopithecine (including the extinct biped ancestors of humans) separated from the Pan genus (containing chimpanzees and bonobos) 4–7 mya. The Homo genus is evidenced by the appearance of H

. Primates produced successive clades leading to the ape superfamily, which gave rise to the hominid and the gibbon families; these diverged some 15–20 mya. African and Asian hominids (including orangutans) diverged about 14 mya. Hominins (including the Australopithecine and Panina subtribes) parted from the Gorillini tribe between 8 and 9 mya; Australopithecine (including the extinct biped ancestors of humans) separated from the Pan genus (containing chimpanzees and bonobos) 4–7 mya

. Wood and Richmond (2000) proposed that Hominini (""hominins"") be designated as a tribe that comprised all species of early humans and pre-humans ancestral to humans back to after the chimpanzee–human last common ancestor, and that Hominina be designated a subtribe of Homini","According to the context, hominins (including humans and Australopithecine) parted from the Gorillini tribe between 8 and 9 mya.",0.7874621748924255,0.8907119035720825,0.8359108567237854,0.44410622,62
When did anatomically modern humans emerge in Africa?,"approximately 300,000 years ago",".[note 1] The recent African origin theory suggests that the anatomically modern humans outside of Africa descend from a population of Homo sapiens migrating from East Africa roughly 70–50,000 years ago and spreading along the southern coast of Asia and to Oceania by about 50,000 years ago. Modern humans spread across Europe about 40,000 years ago

. Neanderthals and Denisovans emerge from the northern Homo heidelbergensis lineage around 500-450 ka while sapients emerge from the southern lineage around 350-300 ka. Fossils attributed to H. sapiens, along with stone tools, dated to approximately 300,000 years ago, found at Jebel Irhoud, Morocco yield the earliest fossil evidence for anatomically modern Homo sapiens. Modern human presence in East Africa (Gademotta), at 276 kya

. heidelbergensis and H. neanderthalensis. The earliest fossils of anatomically modern humans are from the Middle Paleolithic, about 300–200,000 years ago such as the Herto and Omo remains of Ethiopia, Jebel Irhoud remains of Morocco, and Florisbad remains of South Africa; later fossils from the Skhul Cave in Israel and Southern Europe begin around 90,000 years ago (0.09 million years ago). As modern humans spr","According to the context, anatomically modern humans emerged in Africa around 350-300 ka (thousand years ago), with fossils attributed to H. sapiens found at Jebel Irhoud, Morocco dated to approximately 300,000 years ago, and modern human presence confirmed at Gademotta in East Africa at 276 kya (years ago).",0.7777960300445557,0.8963077068328857,0.832857072353363,0.6229626,100
What percentage of DNA do humans share with chimpanzees?,98.4%,". Human DNA is approximately 98.4% identical to that of chimpanzees when comparing single nucleotide polymorphisms (see human evolutionary genetics). The fossil record, however, of gorillas and chimpanzees is limited; both poor preservation – rain forest soils tend to be acidic and dissolve bone – and sampling bias probably contribute to this problem

. At present estimate, humans have approximately 20,000–25,000 genes and share 99% of their DNA with the now extinct Neanderthal and 95–99% of their DNA with their closest living evolutionary relative, the chimpanzees. The human variant of the FOXP2 gene (linked to the control of speech) has been found to be identical in Neanderthals. Divergence of Neanderthal and Denisovan lineages from a common ancestor

. Comparing a given gene with that of other species enables geneticists to determine whether it is rapidly evolving in humans alone. For example, while human DNA is on average 98% identical to chimp DNA, the so-called Human Accelerated Region 1 (HAR1), involved in the development of the brain, is only 85% similar

. The generally low estimates of adaptive evolution in human coding DNA can be contrasted with other species. Bakewell e","According to the context, humans and chimpanzees share approximately 95-99% of their DNA.",0.8345269560813904,0.8697738647460938,0.8517858982086182,0.31161177,4
When did the equatorial belt contract?,Around 8 million years ago,". Other hominins probably adapted to the drier environments outside the equatorial belt; and there they encountered antelope, hyenas, dogs, pigs, elephants, horses, and others. The equatorial belt contracted after about 8 million years ago, and there is very little fossil evidence for the split—thought to have occurred around that time—of the hominin lineage from the lineages of gorillas and chimpanzees

. Stringer distinguishes the original or ""classic"" Multiregional model as having existed from 1984 (its formulation) until 2003, to a ""weak"" post-2003 variant that has ""shifted close to that of the Assimilation Model"". The finding that ""Mitochondrial Eve"" was relatively recent and African seemed to give the upper hand to the proponents of the Out of Africa hypothesis

. Three were associated with the original expansion of Homo erectus out of Africa around 2 million years ago, 7 with an intermediate expansion out of Africa at a date consistent with the expansion of Acheulean tool technology, and a few others with other gene flows such as an expansion out of Eurasia and back into Africa subsequent to the most recent expansion out of Africa. Templeton rejected a hypothesis of complete","According to the context, the equatorial belt contracted after about 8 million years ago.",0.8530960083007812,0.9179702997207642,0.8843449950218201,0.51558423,84
What is the age of Sahelanthropus tchadensis?,7 Ma,". Sahelanthropus tchadensis is an extinct hominine with some morphology proposed (and disputed) to be as expected of the CHLCA, and it lived some 7 million years ago – close to the time of the chimpanzee–human divergence

. Between 1999 and 2003, a multidisciplinary team led by Sileshi Semaw discovered bones and teeth of nine A. ramidus individuals at As Duma in the Gona area of Ethiopia's Afar Region. The fossils were dated to between 4.35 and 4.45 million years old. Ardipithecus ramidus had a small brain, measuring between 300 and 350 cm3

. According to the Chimpanzee Genome Project, the human–chimpanzee last common ancestor existed about five to six million years ago, assuming a constant rate of mutation. However, hominin species dated to earlier than the date could call this into question. Sahelanthropus tchadensis, commonly called ""Toumai"", is about seven million years old and Orrorin tugenensis lived at least six million years ago

. Although most hominin fossils from Africa have been found in eastern and southern Africa, there are a few exceptions. One is Sahelanthropus tchadensis, discovered in the central African country of Chad in 2002. This find is important because it ","According to the context, the answer is:

7 million years ago",0.7962779998779297,0.8061155080795288,0.8011665344238281,0.27548274,40
"What is a characteristic of Ar. ramidus skull morphology, according to the study?",juvenilealised or paedomorphic craniofacial morphology,". It is possible that Ar. ramidus had vocal capability approximating that of chimpanzees and bonobos, with its idiosyncratic skull morphology not resulting in any significant advances in speech capability. In this sense the anatomical features analysed in this essay would have been exapted in later more voluble species of hominin

. On October 1, 2009, paleontologists formally announced the discovery of the relatively complete A. ramidus fossil skeleton first unearthed in 1994. The fossil is the remains of a small-brained 50-kilogram (110 lb) female, nicknamed ""Ardi"", and includes most of the skull and teeth, as well as the pelvis, hands, and feet. It was discovered in Ethiopia's harsh Afar desert at a site called Aramis in the Middle Awash region

. ramidus. The study also provides support for Stephen Jay Gould's theory in Ontogeny and Phylogeny that the paedomorphic (childlike) form of early hominin craniofacial morphology results from dissociation of growth trajectories

. While the skull of A. ramidus, according to the authors, lacks the anatomical impediments to speech evident in chimpanzees, it is unclear what the vocal capabilities of this early hominin were. While they sugg","According to the context, a characteristic of Ar. ramidus skull morphology is that it lacks anatomical impediments to speech evident in chimpanzees.",0.8340346813201904,0.7950377464294434,0.8140694499015808,0.40262836,37
What primate species are authors arguing against using as models for early hominin social evolution?,Chimpanzee,". Consequently, arguing against the so-called ""chimpanzee referential model"" the authors suggest it is no longer tenable to use chimpanzee (Pan troglodytes) social and mating behaviors in models of early hominin social evolution. When commenting on the absence of aggressive canine morphology in Ar. ramidus and the implications this has for the evolution of hominin social psychology, they wrote: Of course Ar

. This is markedly different from social patterns in common chimpanzees, among which intermale and intergroup aggression are typically high. Researchers in a 2009 study said that this condition ""compromises the living chimpanzee as a behavioral model for the ancestral hominid condition."" Bonobo canine size and canine sexual dimorphism more closely resembles that of A. ramidus, and as a result, bonobos are now suggested as a behavioural model. A

. Fossil candidates like Sahelanthropus tchadensis, Orrorin tugenensis, and Ardipithecus ramidus have been debated as either being early hominins or close to the CHLCA. However, their classification remains uncertain due to incomplete evidence The taxon tribe Hominini was proposed to separate humans (genus Homo) from chimpanzees (Pan) a","According to the context, the authors are arguing against using chimpanzee (Pan troglodytes) as a model for early hominin social evolution.",0.7906675338745117,0.8016129732131958,0.7961025834083557,0.63560313,100
What is one key difference between Ar. ramidus and bonobos?,"ramidus has a functional canine honing complex, whereas bonobos do not",". ramidus differs significantly from bonobos, bonobos having retained a functional canine honing complex. However, the fact that Ar. ramidus shares with bonobos reduced sexual dimorphism, and a more paedomorphic form relative to chimpanzees, suggests that the developmental and social adaptations evident in bonobos may be of assistance in future reconstructions of early hominin social and sexual psychology

. ramidus, which lived about 4.4 million years ago during the early Pliocene, and A. kadabba, dated to approximately 5.6 million years ago (late Miocene). Initial behavioral analysis indicated that Ardipithecus could be very similar to chimpanzees; however, more recent analysis based on canine size and lack of canine sexual dimorphism indicates that Ardipithecus was characterised by reduced aggression, and that they more closely resemble bonobos

. It is possible that Ar. ramidus had vocal capability approximating that of chimpanzees and bonobos, with its idiosyncratic skull morphology not resulting in any significant advances in speech capability. In this sense the anatomical features analysed in this essay would have been exapted in later more voluble species of hominin

. Of t","According to the context, one key difference between Ar. ramidus and bonobos is that Ar. ramidus does not have a functional canine honing complex, whereas bonobos do.",0.8815324306488037,0.9224823117256165,0.9015426635742188,0.8207139,97
What do authors argue about the evolutionary history of humans?,"That many of the basic human adaptations evolved in the ancient forest and woodland ecosystems of late Miocene and early Pliocene Africa, rather than evolving from a chimpanzee-like ancestor.",". The possibility of linking humans with earlier apes by descent became clear only after 1859 with the publication of Charles Darwin's On the Origin of Species, in which he argued for the idea of the evolution of new species from earlier ones. Darwin's book did not address the question of human evolution, saying only that ""Light will be thrown on the origin of man and his history."" The first debates about the nature of human evolution arose between Thomas Henry Huxley and Richard Owen

. Huxley argued for human evolution from apes by illustrating many of the similarities and differences between humans and other apes, and did so particularly in his 1863 book Evidence as to Man's Place in Nature. Many of Darwin's early supporters (such as Alfred Russel Wallace and Charles Lyell) did not initially agree that the origin of the mental capacities and the moral sensibilities of humans could be explained by natural selection, though this later changed

. Though Darwin's first book on evolution did not address the specific question of human evolution—""light will be thrown on the origin of man and his history,"" was all Darwin wrote on the subject—the implications of evolutionary theory were ","Based on the context, authors argue about the possibility of linking humans with earlier apes by descent. Specifically, Thomas Henry Huxley and Richard Owen debated the nature of human evolution from apes, with Huxley arguing for human evolution from apes and highlighting similarities and differences between humans and other apes.",0.8398323059082031,0.8332105278968811,0.8365083336830139,0.53173876,49
When did the genus Australopithecus evolve?,around 4 million years ago,". --- # Australopithecus Australopithecus (/ˌɒstrələˈpɪθɪkəs, -loʊ-/, OS-trə-lə-PITH-i-kəs, -⁠loh-; or (/ɒsˌtrələpɪˈθiːkəs/, os-TRA-lə-pi-THEE-kəs from Latin australis 'southern' and Ancient Greek πίθηκος (pithekos) 'ape') is a genus of early hominins that existed in Africa during the Pliocene and Early Pleistocene. The genera Homo (which includes modern humans), Paranthropus, and Kenyanthropus evolved from some Australopithecus species

. This suggests many modern human adaptations represent phylogenetically deep traits and that the behavior and morphology of chimpanzees may have evolved subsequent to the split with the common ancestor they share with humans. The genus Australopithecus evolved in eastern Africa around 4 million years ago before spreading throughout the continent and eventually becoming extinct 2 million years ago

. Some analyses describe Australopithecus as being sister to Ardipithecus ramidus specifically. This means that Australopithecus is distinctly more closely related to Ardipithecus ramidus than Ardipithecus kadabba. Cladistically, then, Australopithecus (and eventually Homo sapiens) indeed emerged within the Ardipithecus lineage, and this lineage is not l","According to the context, the genus Australopithecus evolved in eastern Africa around 4 million years ago.",0.8241763114929199,0.9262047410011292,0.8722169995307922,0.49263585,100
What is another term for Australopithecus robustus and Australopithecus boisei?,Robust australopiths,". During this time period various forms of australopiths existed, including Australopithecus anamensis, A. afarensis, A. sediba, and A. africanus. There is still some debate among academics whether certain African hominid species of this time, such as A. robustus and A. boisei, constitute members of the same genus; if so, they would be considered to be ""robust australopiths"" while the others would be considered ""gracile australopiths""

. Although similar in some ways to Dart's Australopithecus africanus, Broom's specimen had much larger cheek teeth. Because of this difference, Broom named his specimen Paranthropus robustus, using a new genus name. In doing so, he established the practice of grouping gracile australopiths in the genus Australopithecus and robust australopiths in the genus Paranthropus. During the 1960s, the robust variety was commonly moved into Australopithecus

. Australopithecus is a member of the subtribe Australopithecina, which sometimes also includes Ardipithecus, though the term ""australopithecine"" is sometimes used to refer only to members of Australopithecus. Species include A. garhi, A. africanus, A. sediba, A. afarensis, A. anamensis, A. bahrelghazali, a","According to the context, another term for Australopithecus robustus and Australopithecus boisei is ""robust australopiths"".",0.8104360699653625,0.9181862473487854,0.8609529733657837,0.7149583,100
What is the name of the proposed new species that is claimed to have lived at the same time period as A. afarensis?,Australopithecus deyiremeda,". However, if these species do indeed constitute their own genus, then they may be given their own name, Paranthropus. A new proposed species Australopithecus deyiremeda is claimed to have been discovered living at the same time period of A. afarensis. There is debate whether A. deyiremeda is a new species or is A. afarensis. Australopithecus prometheus, otherwise known as Little Foot has recently been dated at 3

. On the basis of this skeleton and subsequent discoveries, the researchers came up with a new species, Australopithecus afarensis. In 1975, Colin Groves and Vratislav Mazák announced a new species of human they called Homo ergaster. Homo ergaster specimens have been found at numerous sites in eastern and southern Africa. In 1994, Tim D. White announced a new species, Ardipithecus ramidus, based on fossils from Ethiopia. In 1999, two new species were announced. Berhane Asfaw and Tim D

. A member of the Australopithecus afarensis left human-like footprints on volcanic ash in Laetoli, northern Tanzania, providing strong evidence of full-time bipedalism. Australopithecus afarensis lived between 3.9 and 2.9 million years ago, and is considered one of the earliest hominins—th","According to the context, the proposed new species that is claimed to have lived at the same time period as A. afarensis is called Australopithecus deyiremeda.",0.833109438419342,0.910741925239563,0.8701976537704468,0.5820887,100
What is the estimated age of the earliest documented representative of the genus Homo?,around 2 million years old,". The oldest member of the genus is Homo habilis, with records of just over 2 million years ago.[a] Homo, together with the genus Paranthropus, is probably most closely related to the species Australopithecus africanus within Australopithecus. The closest living relatives of Homo are of the genus Pan (chimpanzees and bonobos), with the ancestors of Pan and Homo estimated to have diverged around 5.7–11 million years ago during the Late Miocene. H

.67 million years old through a new dating technique, making the genus Australopithecus as old as afarensis. Given the opposable big toe found on Little Foot, it seems that the specimen was a good climber. It is thought given the night predators of the region that he built a nesting platform at night in the trees in a similar fashion to chimpanzees and gorillas. The earliest documented representative of the genus Homo is Homo habilis, which evolved around 2

. The earliest fossils argued by some to belong to the human lineage are Sahelanthropus tchadensis (7 Ma) and Orrorin tugenensis (6 Ma), followed by Ardipithecus (5.5–4.4 Ma), with species Ar. kadabba and Ar. ramidus. It has been argued in a study of the life history of Ar. ramidus tha","According to the context, the estimated age of the earliest documented representative of the genus Homo is around 2 million years ago, which is attributed to Homo habilis.",0.8107845187187195,0.9046468734741211,0.8551477193832397,0.5140507,92
